     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/17/2016-12/23/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
R120,MORRISON AVE & WESTCHESTER    ,00012549,00000607,00000147,00000188,00000005,00015494,00005403,00000000,00000000,00000000,00000000,00000070,00000407,00000000,00000534,00000027,00000023,00000000,00000048,00000000,00000000,00000000,00002772,00000000,                                                                                                                      
R121,QUEENSBORO PLAZA              ,00023936,00000719,00000124,00000368,00000082,00015812,00020161,00000000,00000000,00000000,00000000,00000202,00000289,00000133,00002818,00000567,00000409,00000000,00000348,00000000,00000000,00000000,00005497,00000000,                                                                                                                      
R122,90TH STREET/ELMHURST AVENUE   ,00037384,00002386,00000232,00000691,00000011,00032120,00022965,00000000,00000000,00000000,00000000,00000195,00000963,00000020,00001250,00000121,00000239,00000000,00000349,00000000,00000000,00000000,00006110,00000000,                                                                                                                      
R123,FRANKLIN AVE/EASTERN PKWY     ,00026845,00001473,00000302,00000488,00000007,00017978,00023757,00000000,00000000,00000000,00000000,00000207,00000526,00000012,00003217,00000289,00000522,00000000,00000335,00000000,00000000,00000000,00004253,00000000,                                                                                                                      
R124,KINGSTON AVE/EASTERN PKWY     ,00011348,00000943,00000138,00000248,00000004,00006294,00005445,00000000,00000000,00000000,00000000,00000153,00000354,00000004,00000615,00000150,00000107,00000000,00000107,00000000,00000000,00000000,00001964,00000000,                                                                                                                      
R125,BROAD STREET & WALL STREET    ,00014343,00000572,00000058,00000159,00000009,00007124,00009158,00000000,00000000,00000000,00000000,00000339,00000073,00000041,00001323,00000335,00000171,00000000,00000255,00000000,00000000,00000000,00001923,00000000,                                                                                                                      
R126,175TH STREET/FT WASHINGTON    ,00034345,00002247,00000191,00000401,00000029,00015427,00015813,00000000,00000000,00000000,00000000,00000387,00001195,00000007,00001574,00000407,00000294,00000000,00000280,00000000,00000000,00000000,00002454,00000000,                                                                                                                      
R127,JAY ST-METROTECH              ,00081537,00004600,00000683,00001437,00000093,00041876,00053803,00000000,00000000,00000000,00000000,00000941,00001223,00000157,00006628,00001789,00001148,00000000,00001173,00000000,00000000,00000000,00010313,00000000,                                                                                                                      
R128,SUTPHIN BLVD-HILLSIDE AVE     ,00010060,00000680,00000102,00000157,00000004,00006417,00006342,00000000,00000000,00000000,00000000,00000122,00000258,00000004,00000393,00000067,00000086,00000000,00000127,00000000,00000000,00000000,00001163,00000000,                                                                                                                      
R129,BERGEN STREET-SMITH STREET    ,00027245,00001702,00000082,00000341,00000011,00011444,00019780,00000000,00000000,00000000,00000000,00000448,00000266,00000003,00002750,00000778,00000505,00000000,00000460,00000000,00000000,00000000,00004253,00000000,                                                                                                                      
R130,KINGS HIGHWAY-MCDONALD AVE    ,00010024,00000867,00000075,00000318,00000003,00004618,00007310,00000000,00000000,00000000,00000000,00000141,00000245,00000002,00000356,00000155,00000055,00000000,00000059,00000000,00000000,00000000,00001703,00000000,                                                                                                                      
R131,23RD STREET-PARK AVE SOUTH    ,00064423,00003904,00000313,00000779,00000347,00023714,00036748,00000000,00000000,00000000,00000000,00001007,00000535,00000269,00003970,00001899,00000810,00000001,00000738,00000000,00000000,00000000,00004217,00000000,                                                                                                                      
R132,125TH STREET-LEXINGTON AVE    ,00050638,00003705,00000903,00001608,00000375,00048244,00032061,00000000,00000000,00000000,00000000,00000267,00001904,00000589,00004423,00000691,00000457,00000000,00000308,00000000,00000000,00000000,00007777,00000000,                                                                                                                      
R133,MOSHOLU PARKWAY-JEROME AVE    ,00016988,00001177,00000178,00000318,00000005,00014397,00009154,00000000,00000000,00000000,00000000,00000086,00000406,00000000,00001452,00000127,00000112,00000000,00000080,00000000,00000000,00000000,00004999,00000000,                                                                                                                      
R134,HUNTERS PT AVE-49TH AVE       ,00016492,00000737,00000089,00000182,00000588,00006997,00006586,00000000,00000000,00000000,00000000,00000261,00000121,00000808,00001376,00000717,00000123,00000000,00000101,00000000,00000000,00000000,00000185,00000000,                                                                                                                      
R135,NEWKIRK AVE-NOSTRAND AVE      ,00015132,00001069,00000242,00000326,00000000,00012234,00008202,00000001,00000000,00000000,00000000,00000087,00000409,00000008,00001138,00000078,00000071,00000000,00000104,00000000,00000000,00000000,00003626,00000000,                                                                                                                      
R136,SHEEPSHEAD BAY ROAD           ,00029427,00002944,00000197,00000957,00000007,00010521,00020920,00000000,00000000,00000000,00000000,00000686,00000560,00000003,00001736,00000592,00000269,00000000,00000144,00000000,00000000,00000000,00003947,00000000,                                                                                                                      
R137,MYRTLE AVE-GATES AVENUE       ,00038189,00001460,00000248,00000503,00000012,00034171,00029694,00000000,00000000,00000000,00000000,00000244,00000805,00000017,00002215,00000253,00000402,00000000,00000360,00000000,00000000,00000000,00006578,00000000,                                                                                                                      
R138,WEST 4TH ST-WASHINGTON SQ     ,00105840,00006337,00000344,00001184,00000150,00046136,00063541,00000000,00000000,00000000,00000000,00001564,00000709,00000235,00006814,00002791,00001523,00000000,00002214,00000001,00000000,00000000,00002664,00000000,                                                                                                                      
R139,CANAL STREET-LISPENARD ST     ,00048026,00001954,00000123,00000419,00000268,00018490,00024403,00000000,00000000,00000000,00000000,00000698,00000367,00000492,00002479,00001338,00000646,00000000,00000902,00000000,00000000,00000000,00001322,00000000,                                                                                                                      
R140,QUEENS PLAZA-JACKSON AVE      ,00019297,00000885,00000143,00000485,00000054,00011999,00014345,00000000,00000000,00000000,00000000,00000157,00000283,00000113,00002085,00000409,00000266,00000000,00000390,00000000,00000000,00000000,00004994,00000000,                                                                                                                      
R141,71ST AVE-CONTINENTAL AVE      ,00055363,00006565,00000512,00001919,00000058,00022317,00042733,00000000,00000000,00000000,00000000,00001093,00001202,00000062,00004142,00001619,00000813,00000000,00000574,00000000,00000000,00000000,00006213,00000000,                                                                                                                      
R142,ESSEX ST-DELANCEY ST          ,00056357,00002950,00000300,00001049,00000080,00032732,00039110,00000000,00000000,00000000,00000000,00000590,00001016,00000041,00003955,00000963,00000778,00000000,00001159,00000000,00000000,00000000,00012198,00000000,                                                                                                                      
R143,28TH STREET-PARK AVE SOUTH    ,00055552,00003146,00000234,00000659,00000163,00022795,00031995,00000000,00000000,00000000,00000000,00001036,00000523,00000145,00005264,00001418,00000805,00000000,00000783,00000001,00000000,00000000,00001404,00000000,                                                                                                                      
R144,96TH STREET-LEXINGTON AVE     ,00054072,00004596,00000327,00001078,00000091,00024564,00037808,00000000,00000000,00000000,00000000,00000739,00000848,00000154,00004642,00001613,00001040,00000000,00000554,00000000,00000000,00000000,00006127,00000000,                                                                                                                      
R145,241ST ST-WHITE PLAINS RD      ,00011703,00000607,00000138,00000127,00000006,00009231,00003566,00000000,00000000,00000000,00000000,00000043,00000527,00000002,00000396,00000033,00000036,00000000,00000042,00000000,00000000,00000000,00002276,00000000,                                                                                                                      
R146,HUNTS PT AVE-SOUTHERN BLVD    ,00016610,00000864,00000205,00000469,00000000,00020940,00009540,00000000,00000000,00000000,00000000,00000083,00000528,00000003,00001193,00000046,00000057,00000000,00000087,00000000,00000000,00000000,00003934,00000000,                                                                                                                      
R147,61ST STREET-ROOSEVELT AVE     ,00035834,00002737,00000283,00000791,00000324,00020876,00028354,00000000,00000000,00000000,00000000,00000298,00000709,00000379,00001804,00000487,00000345,00000000,00000430,00000000,00000000,00000000,00004555,00000000,                                                                                                                      
R148,PARKSIDE AVE-OCEAN AVE        ,00010209,00000719,00000132,00000335,00000007,00008959,00008941,00000000,00000000,00000000,00000000,00000063,00000344,00000007,00001054,00000070,00000199,00000000,00000099,00000000,00000000,00000000,00001313,00000000,                                                                                                                      
R149,NEWKIRK PLAZA                 ,00020891,00001782,00000273,00000600,00000007,00013610,00015921,00000000,00000000,00000000,00000000,00000224,00000568,00000004,00001460,00000275,00000274,00000000,00000135,00000000,00000000,00000000,00003680,00000000,                                                                                                                      
R150,AVENUE U-EAST 16TH STREET     ,00013806,00001649,00000131,00000863,00000000,00006617,00013675,00000000,00000000,00000000,00000000,00000219,00000280,00000005,00000720,00000227,00000137,00000000,00000058,00000000,00000000,00000000,00002501,00000000,                                                                                                                      
R151,STILLWELL AVE-CONEY ISLAND    ,00019918,00001633,00000293,00001156,00000001,00016282,00013196,00000000,00000000,00000000,00000000,00000099,00000510,00000001,00000667,00000104,00000084,00000000,00000171,00000000,00000000,00000000,00004176,00000000,                                                                                                                      
R152,ROCKAWAY PKWY-GLENWOOD RD     ,00020787,00000966,00000274,00000495,00000005,00020404,00012777,00000000,00000000,00000000,00000000,00000200,00000429,00000004,00002095,00000121,00000079,00000000,00000094,00000000,00000000,00000000,00003935,00000000,                                                                                                                      
R153,UTICA AVE-STUYVESANT AVE      ,00027239,00001185,00000483,00000486,00000004,00028218,00019720,00000000,00000000,00000000,00000000,00000201,00000549,00000000,00002449,00000195,00000297,00000000,00000392,00000000,00000000,00000000,00005617,00000000,                                                                                                                      
R154,TREMONT AVE-179TH ST          ,00016373,00000802,00000263,00000361,00000002,00022494,00009860,00000000,00000000,00000000,00000000,00000115,00000616,00000000,00001264,00000039,00000073,00000000,00000100,00000000,00000000,00000000,00003775,00000000,                                                                                                                      
R155,KINGSBRIDGE RD-196TH ST       ,00015248,00000706,00000133,00000275,00000011,00017058,00008319,00000000,00000000,00000000,00000000,00000068,00000381,00000008,00000946,00000042,00000136,00000000,00000082,00000000,00000000,00000000,00003874,00000000,                                                                                                                      
R156,BEDFORD PARK BLVD-203RD ST    ,00013229,00000800,00000145,00000238,00000017,00011981,00008348,00000000,00000000,00000000,00000000,00000102,00000365,00000006,00001098,00000107,00000090,00000000,00000096,00000000,00000000,00000000,00003573,00000000,                                                                                                                      
R157,205TH ST-BAINBRIDGE AVE       ,00015917,00000952,00000144,00000296,00000004,00015387,00009525,00000000,00000000,00000000,00000000,00000103,00000426,00000012,00001222,00000123,00000087,00000000,00000071,00000000,00000000,00000000,00003227,00000000,                                                                                                                      
R158,UNION TURNPIKE-KEW GARDENS    ,00035551,00003566,00000562,00001512,00000043,00026004,00037320,00000000,00000000,00000000,00000000,00000595,00000854,00000040,00003561,00000780,00000418,00000000,00000341,00000000,00000000,00000000,00003389,00000000,                                                                                                                      
R159,116TH STREET-COLUMBIA         ,00039317,00002189,00000152,00000390,00000065,00010324,00018147,00000000,00000000,00000000,00000000,00000250,00000295,00000121,00000883,00000999,00000545,00000000,00000818,00000000,00000000,00000000,00000958,00000000,                                                                                                                      
R160,ASTOR PLACE-4 AVENUE          ,00044861,00002811,00000176,00000533,00000122,00017683,00026241,00000000,00000000,00000000,00000000,00000616,00000355,00000144,00003098,00001097,00000591,00000000,00000810,00000000,00000000,00000000,00001732,00000000,                                                                                                                      
R161,KINGSBRIDGE RD-JEROME AVE     ,00017423,00000897,00000190,00000272,00000012,00019081,00008420,00000000,00000000,00000000,00000000,00000065,00000535,00000006,00000925,00000069,00000167,00000000,00000090,00000000,00000000,00000000,00005260,00000000,                                                                                                                      
R162,ELDER AVE-WESTCHESTER AVE     ,00014252,00000571,00000142,00000182,00000000,00015530,00005211,00000000,00000000,00000000,00000000,00000079,00000389,00000000,00000440,00000038,00000056,00000000,00000041,00000000,00000000,00000000,00004169,00000000,                                                                                                                      
R163,14TH STREET-6TH AVENUE        ,00058070,00003527,00000296,00000801,00000056,00026683,00041632,00000000,00000000,00000000,00000000,00001065,00000414,00000047,00004935,00001607,00001133,00000000,00000869,00000000,00000000,00000000,00003760,00000000,                                                                                                                      
R164,66TH STREET-BROADWAY          ,00058140,00008231,00000403,00001325,00000201,00025057,00034954,00000000,00000000,00000000,00000000,00000846,00000893,00000441,00004051,00001858,00000862,00000000,00001066,00000000,00000000,00000000,00011626,00000000,                                                                                                                      
R165,TOMPKINSVILLE                 ,00004105,00000204,00000033,00000050,00000001,00001268,00000761,00000000,00000000,00000000,00000000,00000024,00000022,00000000,00000066,00000060,00000008,00000000,00000002,00000000,00000000,00000000,00000455,00000000,                                                                                                                      
R166,79TH STREET-BROADWAY          ,00039395,00005407,00000310,00000991,00000043,00019942,00025906,00000000,00000000,00000000,00000000,00000606,00000658,00000070,00002526,00001098,00000664,00000000,00000678,00000000,00000000,00000000,00001827,00000000,                                                                                                                      
R167,86TH STREET-BROADWAY          ,00043519,00006672,00000512,00001293,00000058,00022708,00032459,00000000,00000000,00000000,00000000,00000552,00000831,00000061,00003136,00001465,00000878,00000000,00000658,00000000,00000000,00000000,00004590,00000000,                                                                                                                      
R168,96TH STREET-BROADWAY          ,00076925,00012517,00000937,00003052,00000069,00045275,00062526,00000000,00000000,00000000,00000000,00001137,00001788,00000132,00006228,00002192,00001626,00000000,00001058,00000000,00000000,00000000,00006353,00000000,                                                                                                                      
R169,137TH STREET-BROADWAY         ,00023631,00001788,00000271,00000464,00000016,00023911,00020074,00000000,00000000,00000000,00000000,00000102,00000857,00000022,00001677,00000306,00000433,00000000,00000304,00000000,00000000,00000000,00004574,00000000,                                                                                                                      
R170,14TH STREET-UNION SQUARE      ,00280029,00015849,00001411,00003999,00000746,00136032,00190840,00000000,00000000,00000000,00000000,00003805,00002456,00000958,00021412,00006908,00004337,00000000,00004226,00000000,00000000,00000000,00021385,00000000,                                                                                                                      
R171,7TH AVENUE-PARK PLACE         ,00020574,00001529,00000112,00000300,00000005,00007225,00017395,00000000,00000000,00000000,00000000,00000297,00000156,00000011,00002570,00000767,00000478,00000000,00000316,00000000,00000000,00000000,00001889,00000000,                                                                                                                      
R172,BRIGHTON BEACH-CONEY ISLAND   ,00026519,00003191,00000196,00000903,00000011,00011693,00015581,00000000,00000000,00000000,00000000,00000263,00000780,00000016,00000565,00000227,00000207,00000000,00000190,00000000,00000000,00000000,00004678,00000000,                                                                                                                      
R173,207TH STREET-BROADWAY         ,00015740,00001666,00000173,00000514,00000017,00011575,00014168,00000000,00000000,00000000,00000000,00000136,00000524,00000016,00001769,00000276,00000272,00000000,00000136,00000000,00000000,00000000,00002342,00000000,                                                                                                                      
R174,181ST STREET-FT WASH AVE      ,00022430,00002609,00000175,00000578,00000004,00013261,00019898,00000000,00000000,00000000,00000000,00000245,00000444,00000023,00002238,00000503,00000471,00000000,00000353,00000000,00000000,00000000,00002819,00000000,                                                                                                                      
R175,8TH AVENUE-14TH STREET        ,00103784,00004776,00000387,00001277,00000235,00054279,00061876,00000000,00000000,00000000,00000000,00001379,00000986,00000316,00008325,00002801,00001493,00000000,00002304,00000000,00000000,00000000,00012491,00000000,                                                                                                                      
R176,33RD STREET-PARK AVENUE       ,00075131,00004603,00000290,00000872,00000181,00030961,00042522,00000000,00000000,00000000,00000000,00001385,00000701,00000192,00005636,00001779,00000881,00000000,00001095,00000000,00000000,00000000,00003297,00000000,                                                                                                                      
R177,68TH STREET-HUNTER COLLEGE    ,00078373,00007036,00000389,00000975,00000358,00028515,00044670,00000000,00000000,00000000,00000000,00000917,00001060,00000433,00003851,00002079,00001140,00000000,00000647,00000000,00000000,00000000,00005740,00000000,                                                                                                                      
R178,77TH STREET-LEXINGTON AVE     ,00089613,00008516,00000443,00001190,00000186,00034904,00049697,00000000,00000000,00000000,00000000,00001528,00001237,00000262,00005086,00002380,00001113,00000000,00001157,00000000,00000000,00000000,00004590,00000000,                                                                                                                      
R179,86TH STREET-LEXINGTON AVE     ,00148000,00013427,00000788,00002275,00000299,00070344,00101256,00000000,00000000,00000000,00000000,00002659,00001627,00000449,00011872,00004433,00002503,00000000,00001999,00000000,00000000,00000000,00006390,00000000,                                                                                                                      
R180,103RD STREET-LEXINGTON AVE    ,00030977,00002487,00000290,00000799,00000027,00025018,00020901,00000000,00000000,00000000,00000000,00000205,00001002,00000047,00001832,00000390,00000343,00000000,00000307,00000000,00000001,00000000,00007160,00000000,                                                                                                                      
R181,110TH STREET-LEXINGTON AVE    ,00023286,00001800,00000273,00000719,00000014,00020623,00018189,00000000,00000000,00000000,00000000,00000151,00000708,00000039,00001735,00000224,00000363,00000000,00000210,00000000,00000000,00000000,00006068,00000000,                                                                                                                      
R182,116TH STREET-LEXINGTON AVE    ,00028567,00001934,00000420,00000891,00000022,00032135,00021857,00000000,00000000,00000000,00000000,00000158,00000984,00000005,00001972,00000292,00000321,00000000,00000220,00000000,00000000,00000000,00008285,00000000,                                                                                                                      
R183,BEDFORD PARK BLVD-JEROME AV   ,00009220,00000486,00000100,00000155,00000007,00008679,00005134,00000000,00000001,00000000,00000000,00000050,00000212,00000001,00000519,00000069,00000034,00000000,00000041,00000000,00000000,00000000,00006189,00000000,                                                                                                                      
R184,CORTELYOU RD-EAST 16TH ST     ,00013444,00000921,00000102,00000236,00000004,00008041,00010285,00000000,00000000,00000000,00000000,00000130,00000281,00000000,00001118,00000167,00000236,00000000,00000099,00000000,00000000,00000000,00002751,00000000,                                                                                                                      
R185,DYCKMAN STREET-BROADWAY       ,00013211,00001086,00000116,00000326,00000007,00009626,00010191,00000000,00000000,00000000,00000000,00000086,00000438,00000002,00001208,00000211,00000246,00000000,00000162,00000000,00000000,00000000,00002776,00000000,                                                                                                                      
R186,86TH ST-CENTRAL PARK WEST     ,00020139,00002600,00000137,00000550,00000034,00010020,00015990,00000000,00000000,00000000,00000000,00000364,00000337,00000072,00001640,00000670,00000366,00000000,00000362,00000000,00000000,00000000,00002371,00000000,                                                                                                                      
R187,81ST STREET-MUSEUM            ,00035811,00002313,00000143,00000453,00000027,00018554,00015229,00000000,00000000,00000000,00000000,00000363,00000282,00000081,00001906,00000714,00000375,00000000,00001062,00000000,00000000,00000000,00001582,00000000,                                                                                                                      
R188,50TH STREET-8TH AVENUE        ,00058860,00002901,00000243,00000766,00000241,00025968,00028098,00000000,00000000,00000000,00000000,00000607,00000588,00000204,00003101,00001506,00000690,00000000,00001865,00000000,00000000,00000000,00008554,00000000,                                                                                                                      
R189,CHRISTOPHER ST-SHERIDAN SQ    ,00028109,00002519,00000170,00000461,00000062,00011523,00013148,00000000,00000000,00000000,00000000,00000337,00000315,00000087,00001425,00000806,00000397,00000000,00000660,00000000,00000000,00000000,00000476,00000000,                                                                                                                      
R190,23RD STREET-7TH AVENUE        ,00032306,00003336,00000293,00000879,00000103,00016460,00021275,00000000,00000000,00000000,00000000,00000514,00000493,00000122,00002337,00000964,00000632,00000001,00000587,00000000,00000000,00000000,00003650,00000000,                                                                                                                      
R191,103RD STREET-BROADWAY         ,00028154,00004948,00000334,00001031,00000014,00017881,00020980,00000000,00000000,00000000,00000000,00000295,00001031,00000023,00001822,00000638,00000561,00000000,00000586,00000000,00000000,00000000,00003677,00000000,                                                                                                                      
R192,110TH STREET-BROADWAY         ,00030903,00003832,00000209,00000765,00000033,00013989,00018814,00000000,00000000,00000000,00000000,00000227,00000648,00000036,00001587,00000747,00000439,00000000,00000615,00000000,00000000,00000000,00002438,00000000,                                                                                                                      
R193,157TH STREET-BROADWAY         ,00019465,00002006,00000239,00000533,00000007,00022173,00016605,00000000,00000000,00000000,00000000,00000098,00000769,00000000,00001348,00000130,00000253,00000000,00000209,00000000,00000000,00000000,00003316,00000000,                                                                                                                      
R194,BLEECKER ST-LAFAYETTE ST      ,00044326,00001968,00000130,00000368,00000105,00020951,00027546,00000000,00000000,00000000,00000000,00000651,00000273,00000177,00003373,00001158,00000629,00000000,00000797,00000000,00000000,00000000,00001228,00000000,                                                                                                                      
R195,161ST STREET-YANKEE STADIUM   ,00039652,00002454,00000467,00001058,00000031,00046054,00024831,00000000,00000000,00000000,00000000,00000229,00001324,00000063,00003195,00000201,00000273,00000000,00000293,00000000,00000000,00000000,00008426,00000000,                                                                                                                      
R196,PROSPECT PARK-EMPIRE BLVD     ,00018445,00001135,00000270,00000413,00000000,00013840,00016482,00000000,00000000,00000000,00000000,00000219,00000347,00000007,00002007,00000226,00000355,00000000,00000263,00000000,00000000,00000000,00002655,00000000,                                                                                                                      
R197,36TH STREET-4TH AVENUE        ,00028967,00001536,00000170,00000599,00000021,00018870,00020372,00000000,00000000,00000000,00000000,00000262,00000451,00000026,00001566,00000363,00000408,00000000,00000230,00000000,00000000,00000000,00005155,00000000,                                                                                                                      
R198,NOSTRAND AVE-FULTON ST        ,00032151,00001537,00000499,00000592,00000027,00029239,00026183,00000000,00000000,00000000,00000000,00000277,00000736,00000001,00003189,00000342,00000447,00000000,00000597,00000000,00000000,00000000,00004344,00000000,                                                                                                                      
R199,KINGSTON AVE-THROOP AVE       ,00012144,00000550,00000104,00000173,00000002,00010109,00008717,00000000,00000000,00000000,00000000,00000070,00000269,00000002,00000983,00000129,00000131,00000000,00000210,00000000,00000000,00000000,00002354,00000000,                                                                                                                      
R200,EUCLID AVE-PITKIN AVE         ,00019779,00001086,00000249,00000387,00000000,00018085,00010371,00000000,00000000,00000000,00000000,00000104,00000753,00000000,00000900,00000086,00000087,00000000,00000140,00000000,00000000,00000000,00006257,00000000,                                                                                                                      
R201,WOODHAVEN BLVD-QUEENS BLVD    ,00058039,00003889,00000491,00001052,00000023,00035411,00038488,00000000,00000000,00000000,00000000,00000499,00001045,00000046,00003218,00000461,00000496,00000000,00000514,00000000,00000000,00000000,00010187,00000000,                                                                                                                      
R202,63RD DRIVE-REGO PARK          ,00039589,00005755,00000344,00001340,00000019,00018198,00032410,00000000,00000000,00000000,00000000,00000589,00001142,00000023,00002725,00000782,00000583,00000000,00000375,00000000,00000000,00000000,00002706,00000000,                                                                                                                      
R203,23RD STREET-6TH AVENUE        ,00040560,00001962,00000236,00000653,00000059,00016676,00026523,00000000,00000000,00000000,00000000,00000930,00000269,00000054,00002881,00001184,00000758,00000000,00000511,00000000,00000000,00000000,00001311,00000000,                                                                                                                      
R204,CHURCH AVE-MCDONALD AVE       ,00019839,00001774,00000220,00000702,00000005,00012131,00017260,00000000,00000000,00000000,00000000,00000206,00000392,00000010,00001246,00000308,00000278,00000000,00000200,00000000,00000000,00000000,00003856,00000000,                                                                                                                      
R205,149TH ST-GRAND CONCOURSE      ,00022416,00001149,00000366,00000501,00000025,00023203,00012964,00000000,00000000,00000000,00000000,00000080,00000556,00000008,00003418,00000146,00000158,00000000,00000109,00000000,00000000,00000000,00008200,00000000,                                                                                                                      
R206,125TH STREET-LENOX AVENUE     ,00027517,00002155,00000578,00001091,00000074,00029055,00021191,00000000,00000000,00000000,00000000,00000190,00000843,00000070,00002740,00000356,00000308,00000000,00000327,00000000,00000000,00000000,00005308,00000000,                                                                                                                      
R207,135TH STREET-LENOX AVENUE     ,00026003,00002614,00000537,00001001,00000028,00025624,00021154,00000000,00000000,00000000,00000000,00000115,00000936,00000018,00004246,00000215,00000407,00000000,00000278,00000000,00000000,00000000,00005842,00000000,                                                                                                                      
R208,103RD ST-ROOSEVELT AVE        ,00044629,00001353,00000226,00000383,00000008,00046274,00017449,00000000,00000000,00000000,00000000,00000128,00001049,00000018,00000847,00000108,00000153,00000000,00000200,00000000,00000000,00000000,00007598,00000000,                                                                                                                      
R209,STERLING ST-NOSTRAND AVE      ,00012035,00001090,00000189,00000253,00000003,00008530,00008321,00000000,00000000,00000000,00000000,00000107,00000464,00000002,00001068,00000114,00000201,00000000,00000143,00000000,00000000,00000000,00002117,00000000,                                                                                                                      
R210,BEVERLY RD-NOSTRAND AVE       ,00009538,00000702,00000125,00000153,00000001,00007098,00004721,00000000,00000000,00000000,00000000,00000079,00000306,00000000,00000602,00000068,00000061,00000000,00000045,00000000,00000000,00000000,00002107,00000000,                                                                                                                      
R211,KINGS HIGHWAY-EAST 16TH ST    ,00036714,00004042,00000388,00001367,00000013,00017798,00028568,00000000,00000000,00000000,00000000,00000721,00000814,00000020,00001873,00000901,00000290,00000000,00000155,00000000,00000000,00000000,00006497,00000000,                                                                                                                      
R212,59TH STREET-4TH AVENUE        ,00030864,00001726,00000200,00000799,00000002,00018498,00020865,00000000,00000000,00000000,00000000,00000199,00000497,00000034,00001197,00000474,00000235,00000000,00000236,00000000,00000000,00000000,00005933,00000000,                                                                                                                      
R213,BAY RIDGE AVE-4TH AVENUE      ,00016780,00001370,00000168,00000469,00000001,00008299,00013809,00000000,00000000,00000000,00000001,00000178,00000423,00000012,00000970,00000258,00000199,00000000,00000152,00000000,00000000,00000000,00004094,00000000,                                                                                                                      
R214,77TH STREET-4TH AVENUE        ,00013767,00001080,00000080,00000261,00000004,00004617,00009087,00000000,00000000,00000000,00000000,00000288,00000255,00000000,00000874,00000270,00000168,00000000,00000091,00000000,00000000,00000000,00000987,00000000,                                                                                                                      
R215,86TH STREET-4TH AVENUE        ,00021543,00001599,00000198,00000653,00000004,00013983,00017580,00000000,00000000,00000000,00000000,00000255,00000434,00000009,00001266,00000405,00000220,00000000,00000222,00000000,00000000,00000000,00004526,00000000,                                                                                                                      
R216,BAY RIDGE - 95TH STREET       ,00014542,00001444,00000112,00000288,00000001,00004791,00009095,00000000,00000000,00000000,00000000,00000233,00000288,00000008,00000857,00000330,00000196,00000000,00000113,00000000,00000000,00000000,00001064,00000000,                                                                                                                      
R217,HOYT ST-SCHERMERHORN ST       ,00023322,00001190,00000196,00000285,00000011,00014408,00013395,00000000,00000000,00000000,00000000,00000177,00000386,00000003,00001660,00000353,00000301,00000000,00000372,00000000,00000000,00000000,00002220,00000000,                                                                                                                      
R218,ELMHURST AVE-BROADWAY         ,00026162,00002659,00000219,00000929,00000013,00016094,00030183,00000000,00000000,00000000,00000000,00000232,00000719,00000038,00001537,00000177,00000370,00000000,00000266,00000000,00000000,00000000,00004717,00000000,                                                                                                                      
R219,67TH AVENUE-QUEENS BLVD       ,00019688,00003004,00000122,00000696,00000003,00005428,00016243,00000000,00000000,00000000,00000000,00000407,00000502,00000022,00001719,00000438,00000296,00000000,00000235,00000000,00000000,00000000,00005605,00000000,                                                                                                                      
R220,CARROLL ST-PRESIDENT ST       ,00027597,00001575,00000099,00000215,00000012,00010351,00018884,00000000,00000000,00000000,00000000,00000507,00000267,00000022,00002744,00000902,00000547,00000000,00000443,00000000,00000000,00000000,00003769,00000000,                                                                                                                      
R221,167TH STREET-RIVER AVENUE     ,00017215,00000787,00000205,00000273,00000001,00022337,00009109,00000000,00000000,00000000,00000000,00000053,00000554,00000002,00001270,00000054,00000091,00000000,00000085,00000000,00000000,00000000,00004180,00000000,                                                                                                                      
R222,177TH STREET-PARKCHESTER      ,00030144,00002085,00000314,00000669,00000003,00025800,00020020,00000000,00000000,00000000,00000000,00000311,00000774,00000013,00002578,00000179,00000187,00000000,00000143,00000000,00000000,00000000,00006650,00000000,                                                                                                                      
R223,46TH ST-BLISS ST              ,00028536,00002115,00000228,00000455,00000017,00020656,00025602,00000000,00000000,00000000,00000000,00000249,00000614,00000025,00001986,00000271,00000332,00000000,00000330,00000000,00000000,00000000,00003769,00000000,                                                                                                                      
R224,CLARK STREET-HENRY STREET     ,00012704,00001716,00000053,00000344,00000021,00005104,00008707,00000000,00000000,00000000,00000000,00000175,00000185,00000029,00001198,00000374,00000275,00000000,00000244,00000000,00000000,00000000,00000438,00000000,                                                                                                                      
R225,HOYT STREET-HOYT STREET       ,00010511,00000992,00000120,00000202,00000040,00008224,00007441,00000000,00000000,00000000,00000000,00000069,00000222,00000042,00000981,00000157,00000147,00000000,00000104,00000000,00000000,00000000,00002676,00000000,                                                                                                                      
R226,GUN HILL ROAD-SEYMOUR         ,00010065,00000490,00000088,00000141,00000005,00006580,00003877,00000000,00000000,00000000,00000000,00000097,00000252,00000000,00000696,00000066,00000071,00000000,00000016,00000000,00000000,00000000,00002397,00000000,                                                                                                                      
R227,RECTOR STREET-CHURCH STREET   ,00012412,00000707,00000031,00000148,00000021,00004794,00008105,00000000,00000000,00000000,00000000,00000339,00000096,00000040,00000898,00000334,00000179,00000000,00000226,00000000,00000000,00000000,00000465,00000000,                                                                                                                      
